2026-03-31 02:09:13,555 | INFO | cerebras_distribution | Logging initialized. Log file: C:\python\synthetic-survey-prompt-benchmark\outputs\runs\cerebras-llama31-8b-dist36\logs\cerebras_distribution_20260331_020913.log
2026-03-31 02:09:13,571 | INFO | cerebras_distribution | Loaded samples: shape=(8280, 6) columns=['Question', 'Question Category', 'Continent', 'Urban / Rural', 'Education', 'D_INTERVIEW']
2026-03-31 02:09:14,288 | INFO | cerebras_distribution | Built subset shape=(1080, 6)
2026-03-31 02:09:21,998 | INFO | cerebras_distribution | Attached HUMAN_SCORE: attached=1080 missing=0
2026-03-31 02:09:22,136 | INFO | cerebras_distribution | Resume status: completed_cells=0 total_cells=216
2026-03-31 02:09:23,088 | INFO | httpx | HTTP Request: POST https://api.cerebras.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-31 02:09:23,772 | INFO | httpx | HTTP Request: POST https://api.cerebras.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-31 02:09:24,455 | INFO | httpx | HTTP Request: POST https://api.cerebras.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-31 02:09:25,152 | INFO | httpx | HTTP Request: POST https://api.cerebras.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-31 02:09:25,821 | INFO | httpx | HTTP Request: POST https://api.cerebras.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-31 02:09:26,442 | INFO | httpx | HTTP Request: POST https://api.cerebras.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-31 02:09:27,099 | INFO | httpx | HTTP Request: POST https://api.cerebras.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-31 02:09:27,821 | INFO | httpx | HTTP Request: POST https://api.cerebras.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-31 02:09:28,464 | INFO | httpx | HTTP Request: POST https://api.cerebras.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-31 02:09:29,078 | INFO | httpx | HTTP Request: POST https://api.cerebras.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-31 02:09:29,769 | INFO | httpx | HTTP Request: POST https://api.cerebras.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-31 02:09:30,436 | INFO | httpx | HTTP Request: POST https://api.cerebras.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-31 02:09:31,041 | INFO | httpx | HTTP Request: POST https://api.cerebras.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-31 02:09:31,714 | INFO | httpx | HTTP Request: POST https://api.cerebras.ai/v1/chat/completions "HTTP/1.1 200 OK"
