2026-03-29 21:35:49,863 | INFO | distribution_benchmark | Logging initialized. Log file: outputs\runs\distribution_20260329_213549_qwen-distilled\logs\distribution_20260329_213549.log
2026-03-29 21:35:49,880 | INFO | distribution_benchmark | Loaded samples: shape=(8280, 6) columns=['Question', 'Question Category', 'Continent', 'Urban / Rural', 'Education', 'D_INTERVIEW']
2026-03-29 21:35:49,910 | WARNING | distribution_benchmark | No rows for qid=Q46 group={'continent': 'Latin America', 'urban_rural': 'Urban', 'education': 'Upper to Post Secondary'}
2026-03-29 21:35:49,942 | WARNING | distribution_benchmark | No rows for qid=Q57 group={'continent': 'Latin America', 'urban_rural': 'Urban', 'education': 'Upper to Post Secondary'}
2026-03-29 21:35:49,973 | WARNING | distribution_benchmark | No rows for qid=Q59 group={'continent': 'Latin America', 'urban_rural': 'Urban', 'education': 'Upper to Post Secondary'}
2026-03-29 21:35:50,000 | WARNING | distribution_benchmark | No rows for qid=Q106 group={'continent': 'Latin America', 'urban_rural': 'Urban', 'education': 'Upper to Post Secondary'}
2026-03-29 21:35:50,027 | WARNING | distribution_benchmark | No rows for qid=Q158 group={'continent': 'Latin America', 'urban_rural': 'Urban', 'education': 'Upper to Post Secondary'}
2026-03-29 21:35:50,053 | WARNING | distribution_benchmark | No rows for qid=Q164 group={'continent': 'Latin America', 'urban_rural': 'Urban', 'education': 'Upper to Post Secondary'}
2026-03-29 21:35:50,077 | WARNING | distribution_benchmark | No rows for qid=Q199 group={'continent': 'Latin America', 'urban_rural': 'Urban', 'education': 'Upper to Post Secondary'}
2026-03-29 21:35:50,103 | WARNING | distribution_benchmark | No rows for qid=Q235 group={'continent': 'Latin America', 'urban_rural': 'Urban', 'education': 'Upper to Post Secondary'}
2026-03-29 21:35:50,106 | INFO | distribution_benchmark | Built subset shape=(200, 6)
2026-03-29 21:35:55,434 | INFO | distribution_benchmark | Attached HUMAN_SCORE: attached=200 missing=0
2026-03-29 21:35:55,797 | INFO | httpx | HTTP Request: GET <LOCAL_ENDPOINT>/api/v1/models "HTTP/1.1 200 OK"
2026-03-29 21:36:17,939 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/api/v1/models/load "HTTP/1.1 200 OK"
2026-03-29 21:36:17,942 | INFO | src.lmstudio_rest | Loaded model via LM Studio REST | model=qwen3.5-4b-claude-opus-4.6-distilled instance_id=qwen3.5-4b-claude-opus-4.6-distilled
2026-03-29 21:36:26,421 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 21:36:31,876 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 21:36:37,382 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 21:36:43,512 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 21:36:49,275 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 21:36:56,529 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
