2026-03-30 00:59:31,598 | INFO | distribution_benchmark | Logging initialized. Log file: outputs\runs\distribution_20260330_005931_llama-nodemo-dist-1080\logs\distribution_20260330_005931.log
2026-03-30 00:59:31,617 | INFO | distribution_benchmark | Loaded samples: shape=(8280, 6) columns=['Question', 'Question Category', 'Continent', 'Urban / Rural', 'Education', 'D_INTERVIEW']
2026-03-30 00:59:33,116 | INFO | distribution_benchmark | Built subset shape=(1080, 6)
2026-03-30 00:59:45,273 | INFO | distribution_benchmark | Attached HUMAN_SCORE: attached=1080 missing=0
2026-03-30 00:59:45,461 | INFO | distribution_benchmark | Resume status: already_completed=0 total_rows=1080
2026-03-30 00:59:45,829 | INFO | httpx | HTTP Request: GET <LOCAL_ENDPOINT>/api/v1/models "HTTP/1.1 200 OK"
2026-03-30 00:59:57,448 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/api/v1/models/load "HTTP/1.1 200 OK"
2026-03-30 00:59:57,449 | INFO | src.lmstudio_rest | Loaded model via LM Studio REST | model=llama-3.2-3b-instruct instance_id=llama-3.2-3b-instruct
2026-03-30 00:59:59,165 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 01:00:00,504 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 01:00:01,845 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 01:00:03,215 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 01:00:04,540 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 01:00:05,970 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 01:00:07,452 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 01:00:08,792 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 01:00:10,212 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 01:00:11,514 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 01:00:12,817 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
