2026-03-30 01:54:46,734 | INFO | distribution_benchmark | Logging initialized. Log file: outputs\runs\distribution_20260330_015446_llama-interview-dist-1080\logs\distribution_20260330_015446.log
2026-03-30 01:54:46,757 | INFO | distribution_benchmark | Loaded samples: shape=(8280, 6) columns=['Question', 'Question Category', 'Continent', 'Urban / Rural', 'Education', 'D_INTERVIEW']
2026-03-30 01:54:48,187 | INFO | distribution_benchmark | Built subset shape=(1080, 6)
2026-03-30 01:55:01,623 | INFO | distribution_benchmark | Attached HUMAN_SCORE: attached=1080 missing=0
2026-03-30 01:55:01,867 | INFO | distribution_benchmark | Resume status: already_completed=0 total_rows=1080
2026-03-30 01:55:02,367 | INFO | httpx | HTTP Request: GET <LOCAL_ENDPOINT>/api/v1/models "HTTP/1.1 200 OK"
2026-03-30 01:55:16,862 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/api/v1/models/load "HTTP/1.1 200 OK"
2026-03-30 01:55:16,863 | INFO | src.lmstudio_rest | Loaded model via LM Studio REST | model=llama-3.2-3b-instruct instance_id=llama-3.2-3b-instruct:2
2026-03-30 01:55:20,121 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 01:55:21,181 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 01:55:22,256 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 01:55:23,370 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 01:55:24,461 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 01:55:26,024 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 01:55:27,118 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
