2026-03-30 06:19:14,850 | INFO | distribution_benchmark | Logging initialized. Log file: outputs\runs\distribution_20260330_061914_llama-targeted-followup\logs\distribution_20260330_061914.log
2026-03-30 06:19:14,871 | INFO | distribution_benchmark | Loaded samples: shape=(8280, 6) columns=['Question', 'Question Category', 'Continent', 'Urban / Rural', 'Education', 'D_INTERVIEW']
2026-03-30 06:19:15,262 | INFO | distribution_benchmark | Built subset shape=(360, 6)
2026-03-30 06:19:21,813 | INFO | distribution_benchmark | Attached HUMAN_SCORE: attached=360 missing=0
2026-03-30 06:19:21,880 | INFO | distribution_benchmark | Resume status: already_completed=0 total_rows=360
2026-03-30 06:19:22,226 | INFO | httpx | HTTP Request: GET <LOCAL_ENDPOINT>/api/v1/models "HTTP/1.1 200 OK"
2026-03-30 06:19:41,259 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/api/v1/models/load "HTTP/1.1 200 OK"
2026-03-30 06:19:41,260 | INFO | src.lmstudio_rest | Loaded model via LM Studio REST | model=llama-3.2-3b-instruct instance_id=llama-3.2-3b-instruct
2026-03-30 06:19:43,030 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 06:19:44,191 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 06:19:45,697 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 06:19:46,834 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 06:19:48,001 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 06:19:49,552 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 06:19:50,740 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 06:19:52,021 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 06:19:53,849 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
