2026-03-30 07:34:23,667 | INFO | distribution_benchmark | Logging initialized. Log file: outputs\runs\distribution_20260330_073423_hermes36-interview-direct-dist\logs\distribution_20260330_073423.log
2026-03-30 07:34:23,693 | INFO | distribution_benchmark | Loaded samples: shape=(8280, 6) columns=['Question', 'Question Category', 'Continent', 'Urban / Rural', 'Education', 'D_INTERVIEW']
2026-03-30 07:34:25,057 | INFO | distribution_benchmark | Built subset shape=(1080, 6)
2026-03-30 07:34:37,294 | INFO | distribution_benchmark | Attached HUMAN_SCORE: attached=1080 missing=0
2026-03-30 07:34:37,450 | INFO | distribution_benchmark | Resume status: already_completed=0 total_rows=1080
2026-03-30 07:34:37,730 | INFO | httpx | HTTP Request: GET <LOCAL_ENDPOINT>/api/v1/models "HTTP/1.1 200 OK"
2026-03-30 07:34:45,600 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/api/v1/models/load "HTTP/1.1 200 OK"
2026-03-30 07:34:45,602 | INFO | src.lmstudio_rest | Loaded model via LM Studio REST | model=hermes-3-llama-3.2-3b instance_id=hermes-3-llama-3.2-3b:2
2026-03-30 07:34:50,188 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 07:34:52,241 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 07:34:54,017 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 07:34:55,775 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 07:34:57,676 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 07:34:59,631 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 07:35:01,453 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 07:35:03,278 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 07:35:05,228 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 07:35:07,033 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 07:35:08,920 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 07:35:10,815 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 07:35:12,546 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 07:35:14,399 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 07:35:16,238 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
