category,q_mean_w1,q_median_w1,q_questions,q_mean_top_hit,q_mean_unique,q_mean_entropy,l_mean_w1,l_median_w1,l_questions,l_mean_top_hit,l_mean_unique,l_mean_entropy,delta_w1_l_minus_q
Perceptions about Science and Technology,0.20370370370370372,0.21481481481481482,3,0.05555555555555555,3.8888888888888893,1.2743414916446916,0.22469135802469134,0.2074074074074074,3,0.05555555555555555,3.8333333333333335,1.268527623380641,0.02098765432098762
Economic Values,0.2111111111111111,0.21851851851851856,3,0.05555555555555555,4.444444444444444,1.449591337378951,0.23580246913580247,0.2148148148148148,3,0.05555555555555555,3.6111111111111107,1.2127284089282522,0.024691358024691357
Religious Values,0.22592592592592595,0.19999999999999998,3,0.5,2.611111111111111,0.8139805713093619,0.25679012345679014,0.23703703703703707,3,0.4444444444444445,2.611111111111111,0.7854113092345519,0.030864197530864196
Perceptions of Security,0.24074074074074078,0.25555555555555554,3,0.38888888888888884,2.722222222222222,0.898547993006929,0.26296296296296295,0.2222222222222222,3,0.3333333333333333,3.0,1.0008581535717223,0.02222222222222217
Happiness and Wellbeing,0.24166666666666667,0.22499999999999998,3,0.16666666666666666,3.1111111111111107,0.9980506920248811,0.20185185185185184,0.21666666666666667,3,0.38888888888888884,3.1666666666666665,1.0354402290809508,-0.03981481481481483
"Social Capital, Trust and Organizational Membership",0.2555555555555556,0.18888888888888888,3,0.4444444444444445,2.2222222222222223,0.6793256145187497,0.24074074074074073,0.2111111111111111,3,0.38888888888888884,2.3333333333333335,0.705388549121793,-0.014814814814814864
Perceptions of Migration,0.2638888888888889,0.25000000000000006,3,0.38888888888888884,2.8333333333333335,0.9293545343651489,0.2916666666666667,0.26666666666666666,3,0.3333333333333333,2.6666666666666665,0.8660042516107419,0.02777777777777779
Perceptions of Corruption,0.28518518518518515,0.3,3,0.2222222222222222,2.888888888888889,0.9159895977990806,0.23209876543209876,0.2111111111111111,3,0.38888888888888884,2.9444444444444446,0.9152204703652811,-0.053086419753086395
Political Culture and Political Regimes,0.2888888888888889,0.2777777777777778,3,0.2222222222222222,2.722222222222222,0.8947724588559202,0.2333333333333333,0.2555555555555556,3,0.38888888888888884,2.777777777777778,0.9159895977990805,-0.05555555555555561
Political Interest and Political Participation,0.2953703703703704,0.2833333333333334,3,0.5,2.5555555555555554,0.809134775649479,0.30370370370370375,0.3,3,0.2222222222222222,2.555555555555556,0.8045901140646706,0.00833333333333336
"Social Values, Norms, Stereotypes",0.3074074074074074,0.26666666666666666,3,0.4444444444444444,2.7222222222222228,0.8601903833466915,0.3,0.28888888888888886,3,0.27777777777777773,3.0,0.9950442853076717,-0.007407407407407418
Ethical Values,0.3172839506172839,0.35555555555555557,3,0.27777777777777773,3.6111111111111107,1.2069145406642015,0.2839506172839506,0.30370370370370375,3,0.05555555555555555,4.055555555555556,1.3359545743611312,-0.033333333333333326
