QUESTION_ID,category,q_w1,l_w1,avg_w1
Q107,Economic Values,0.25925925925925924,0.28518518518518515,0.2722222222222222
Q178,Ethical Values,0.3814814814814815,0.3962962962962963,0.3888888888888889
Q46,Happiness and Wellbeing,0.2222222222222222,0.2333333333333333,0.22777777777777775
Q160,Perceptions about Science and Technology,0.22962962962962963,0.3,0.26481481481481484
Q113,Perceptions of Corruption,0.3333333333333333,0.19999999999999998,0.26666666666666666
Q123,Perceptions of Migration,0.30000000000000004,0.3666666666666667,0.33333333333333337
Q132,Perceptions of Security,0.25555555555555554,0.35555555555555557,0.3055555555555556
Q237,Political Culture and Political Regimes,0.3333333333333333,0.2555555555555556,0.29444444444444445
Q201,Political Interest and Political Participation,0.35833333333333334,0.3666666666666667,0.36250000000000004
Q165,Religious Values,0.19999999999999998,0.39999999999999997,0.3
Q57,"Social Capital, Trust and Organizational Membership",0.43333333333333335,0.3,0.3666666666666667
Q1,"Social Values, Norms, Stereotypes",0.4444444444444445,0.39999999999999997,0.4222222222222222
