QUESTION_ID,category,q_w1,l_w1,avg_w1
Q58,"Social Capital, Trust and Organizational Membership",0.14444444444444446,0.2111111111111111,0.17777777777777778
Q108,Economic Values,0.15555555555555556,0.2148148148148148,0.18518518518518517
Q166,Religious Values,0.16666666666666666,0.13333333333333333,0.15
Q159,Perceptions about Science and Technology,0.16666666666666666,0.2074074074074074,0.18703703703703703
Q131,Perceptions of Security,0.17777777777777778,0.2111111111111111,0.19444444444444445
Q59,"Social Capital, Trust and Organizational Membership",0.18888888888888888,0.2111111111111111,0.2
Q2,"Social Values, Norms, Stereotypes",0.2111111111111111,0.28888888888888886,0.25
Q177,Ethical Values,0.2148148148148148,0.30370370370370375,0.2592592592592593
Q158,Perceptions about Science and Technology,0.21481481481481482,0.16666666666666666,0.19074074074074074
Q106,Economic Values,0.21851851851851856,0.20740740740740746,0.21296296296296302
Q112,Perceptions of Corruption,0.22222222222222218,0.2851851851851852,0.2537037037037037
Q47,Happiness and Wellbeing,0.22499999999999998,0.21666666666666667,0.22083333333333333
Q121,Perceptions of Migration,0.2416666666666667,0.2416666666666666,0.24166666666666664
Q199,Political Interest and Political Participation,0.24444444444444444,0.24444444444444444,0.24444444444444444
Q122,Perceptions of Migration,0.25000000000000006,0.26666666666666666,0.25833333333333336
Q235,Political Culture and Political Regimes,0.25555555555555554,0.26666666666666666,0.26111111111111107
Q3,"Social Values, Norms, Stereotypes",0.26666666666666666,0.2111111111111111,0.23888888888888887
Q236,Political Culture and Political Regimes,0.2777777777777778,0.17777777777777773,0.22777777777777775
Q48,Happiness and Wellbeing,0.2777777777777778,0.15555555555555556,0.21666666666666667
Q200,Political Interest and Political Participation,0.2833333333333334,0.3,0.2916666666666667
Q133,Perceptions of Security,0.2888888888888889,0.2222222222222222,0.25555555555555554
Q114,Perceptions of Corruption,0.3,0.2111111111111111,0.25555555555555554
Q164,Religious Values,0.3111111111111111,0.23703703703703707,0.2740740740740741
Q176,Ethical Values,0.35555555555555557,0.15185185185185182,0.2537037037037037
