QUESTION_ID	GROUP_KEY	category	Continent	Urban_Rural	Education	n_options	baseline_w1	baseline_top_hit	baseline_entropy	split	corrected_w1	corrected_top_hit	corrected_entropy	model_dist_json	human_dist_json	corrected_dist_json
Q1	Africa | Rural | Primary or No Education	Social Values, Norms, Stereotypes	Africa	Rural	Primary or No Education	4	0.16	1	0.9179274252449618	calibration	0.16	1	0.9179274252449618	[0.65, 0.25, 0.07, 0.03]	[1.0, 0.0, 0.0, 0.0]	[0.65, 0.25, 0.07, 0.03]
Q1	Asia | Urban | Upper to Post Secondary	Social Values, Norms, Stereotypes	Asia	Urban	Upper to Post Secondary	4	0.2666666666666668	1	1.161120818283116	calibration	0.2666666666666668	1	1.161120818283116	[0.45, 0.35, 0.15, 0.05]	[1.0, 0.0, 0.0, 0.0]	[0.45, 0.35, 0.15, 0.05]
Q1	Europe | Rural | Lower Secondary	Social Values, Norms, Stereotypes	Europe	Rural	Lower Secondary	4	0.2666666666666668	1	1.161120818283116	calibration	0.2666666666666668	1	1.161120818283116	[0.45, 0.35, 0.15, 0.05]	[1.0, 0.0, 0.0, 0.0]	[0.45, 0.35, 0.15, 0.05]
Q1	Europe | Urban | Tertiary	Social Values, Norms, Stereotypes	Europe	Urban	Tertiary	4	0.20000000000000007	1	1.161120818283116	calibration	0.20000000000000007	1	1.161120818283116	[0.45, 0.35, 0.15, 0.05]	[0.8, 0.2, 0.0, 0.0]	[0.45, 0.35, 0.15, 0.05]
Q1	North America | Urban | Tertiary	Social Values, Norms, Stereotypes	North America	Urban	Tertiary	4	0.2666666666666668	1	1.161120818283116	calibration	0.2666666666666668	1	1.161120818283116	[0.45, 0.35, 0.15, 0.05]	[1.0, 0.0, 0.0, 0.0]	[0.45, 0.35, 0.15, 0.05]
Q1	South America | Urban | Lower Secondary	Social Values, Norms, Stereotypes	South America	Urban	Lower Secondary	4	0.2666666666666668	1	1.161120818283116	calibration	0.2666666666666668	1	1.161120818283116	[0.45, 0.35, 0.15, 0.05]	[1.0, 0.0, 0.0, 0.0]	[0.45, 0.35, 0.15, 0.05]
Q106	Africa | Rural | Primary or No Education	Economic Values	Africa	Rural	Primary or No Education	10	0.2522222222222222	0	2.1015732903467836	calibration	0.1783465109073539	0	2.0454320590170814	[0.22000000000000003, 0.18, 0.15, 0.12, 0.09, 0.08, 0.06, 0.05, 0.03, 0.02]	[0.2, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.2, 0.2]	[0.28800724454725907, 0.067374765239254, 0.07437642971441555, 0.10172422916775346, 0.1855463792445595, 0.02679836115402817, 0.04709166782261483, 0.07112511730357546, 0.024624313405486334, 0.11333149240105364]
Q106	Asia | Urban | Upper to Post Secondary	Economic Values	Asia	Urban	Upper to Post Secondary	10	0.2288888888888889	0	2.2467988990896077	calibration	0.17468538570668415	0	2.0759816333649543	[0.05, 0.06, 0.08, 0.1, 0.12, 0.14, 0.15, 0.13, 0.1, 0.07]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.6, 0.0, 0.2]	[0.06108572511610142, 0.019651034501791155, 0.03244446266639108, 0.10973359974070046, 0.18281860444955228, 0.06325221257884506, 0.06337529793297944, 0.1950642556658924, 0.057979674892876594, 0.2145951324548701]
Q106	Europe | Rural | Lower Secondary	Economic Values	Europe	Rural	Lower Secondary	10	0.2144444444444445	0	2.2597711590455747	calibration	0.14946722731365675	0	2.171209981105652	[0.12, 0.14, 0.13, 0.12, 0.11000000000000001, 0.1, 0.09, 0.08, 0.06, 0.05]	[0.2, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.4]	[0.1821708387999906, 0.06982617290957042, 0.06403950215296338, 0.10195781780665704, 0.16173244728716357, 0.04155909148494185, 0.046944074259110485, 0.11066509506559465, 0.05038240489579238, 0.17072255533821576]
Q106	Europe | Urban | Tertiary	Economic Values	Europe	Urban	Tertiary	10	0.15	0	2.209762012815997	calibration	0.09363160105583494	0	2.0989150564597234	[0.05, 0.06, 0.08, 0.12, 0.15, 0.18, 0.14, 0.1, 0.07, 0.05]	[0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.4, 0.0, 0.2]	[0.06662495826064288, 0.031062606723749053, 0.03444744578974006, 0.12678368246232583, 0.19314905276710295, 0.048158406958709536, 0.07877199556697226, 0.15988243423871018, 0.04837531323936269, 0.2127441039926846]
Q106	North America | Urban | Tertiary	Economic Values	North America	Urban	Tertiary	10	0.15	0	2.209762012815997	calibration	0.186883268853652	1	2.1182755075051576	[0.05, 0.06, 0.08, 0.12, 0.15, 0.18, 0.14, 0.1, 0.07, 0.05]	[0.0, 0.0, 0.0, 0.2, 0.6, 0.0, 0.2, 0.0, 0.0, 0.0]	[0.09499819958673171, 0.032133257311357556, 0.03399150562337453, 0.13737359756903555, 0.23684311869623978, 0.0607853273288357, 0.07211949799275724, 0.10583963171734324, 0.05192229875191985, 0.17399356542240485]
Q106	South America | Urban | Lower Secondary	Economic Values	South America	Urban	Lower Secondary	10	0.22666666666666657	0	2.235424232859281	calibration	0.11299337069670748	0	2.139489667671045	[0.11999999999999997, 0.13999999999999999, 0.15999999999999998, 0.12999999999999998, 0.10999999999999999, 0.08999999999999998, 0.07999999999999999, 0.06999999999999999, 0.04999999999999999, 0.04999999999999999]	[0.0, 0.0, 0.0, 0.2, 0.4, 0.0, 0.0, 0.0, 0.2, 0.2]	[0.1229791273093549, 0.07452607106678347, 0.06813686568459369, 0.11927291918103698, 0.17590116422520752, 0.03407234379105686, 0.04530239918506889, 0.10127328472142277, 0.03858728843571946, 0.21994853639975562]
Q107	Africa | Rural | Primary or No Education	Economic Values	Africa	Rural	Primary or No Education	10	0.3166666666666667	0	2.2719596329085636	dev	0.1823950244678926	1	2.055781538776796	[0.12, 0.11000000000000001, 0.1, 0.09, 0.08, 0.07, 0.13, 0.14, 0.1, 0.06]	[0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.2, 0.0, 0.2, 0.4]	[0.12712179574959606, 0.03331773631780925, 0.04012380488616317, 0.06173674282791776, 0.13346211511234168, 0.01897467432321833, 0.08256466357533765, 0.16115325014441007, 0.06642031288213131, 0.27512490418107466]
Q107	Asia | Urban | Upper to Post Secondary	Economic Values	Asia	Urban	Upper to Post Secondary	10	0.1666666666666666	0	2.193233702276771	dev	0.19382019625796515	0	2.0723627191464082	[0.08888888888888885, 0.11111111111111117, 0.1333333333333334, 0.15555555555555559, 0.1444444444444445, 0.12222222222222227, 0.09999999999999995, 0.07777777777777774, 0.05555555555555552, 0.011111111111111106]	[0.0, 0.0, 0.6, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.1247856573314044, 0.04181567605892262, 0.062135071137143574, 0.19614291113576865, 0.2528642602165037, 0.0634520015595678, 0.04854854507401045, 0.13410264304169764, 0.03701269726692284, 0.03914053717805842]
